vn_count,success_count,inservice_count,total_revenue,total_cost,total_r2c,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,event_time,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,pn_node_resource_utilization,pn_edge_resource_utilization,vn_id,lifetime,arrival_time,vn_num_nodes,vn_num_egdes,result,node_slots,edge_paths,node_slots_info,edge_paths_info,vn_cost,vn_revenue,vn_demand,vn_node_demand,vn_edge_demand,vn_node_revenue,vn_edge_revenue,vn_node_cost,vn_edge_cost,vn_path_cost,vn_r2c_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,description,violation,current_violation,total_place_violation,total_route_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,vn_rc_ratio
1,0,0,0,0,0.0,0.0,0.0,0,0,1,11.0,1435,660,775,0.0,0.0,0,111.53199228901423,11.0,8,17,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
2,0,0,0,0,0.0,0.0,0.0,0,1,1,17.0,1435,660,775,0.0,0.0,1,260.39171559070735,17.0,7,8,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
3,1,1,94,94,1.0,157280.03952649058,157280.03952649058,3,2,1,28.0,1341,590,751,0.10606060606060608,0.030967741935483906,2,1673.1919098562828,28.0,3,2,True,"OrderedDict([(1, 6), (2, 3), (0, 5)])","OrderedDict([((2, 1), [3, 6]), ((0, 1), [5, 6])])",OrderedDict(),OrderedDict(),94,94,0,0,0,70,24,0,0,0,0,157280.03952649058,157280.03952649058,1673.1919098562828,Success,0,0,0,0,True,True,False,0,[],1.0
4,2,2,317,376,0.8430851063829787,190500.36225523506,199289.5956229298,7,3,1,47.0,1059,461,598,0.3015151515151515,0.22838709677419355,3,148.97005707957166,47.0,5,4,True,"OrderedDict([(1, 7), (4, 0), (2, 2), (0, 9), (3, 6)])","OrderedDict([((4, 1), [0, 7]), ((2, 4), [2, 7, 0]), ((0, 4), [9, 0]), ((3, 0), [6, 5, 1, 9])])",OrderedDict(),OrderedDict(),282,223,0,0,0,129,94,0,0,59,0,42009.556096439206,33220.32272874448,117.80256286788823,Success,0,0,0,0,True,True,False,0,[],0.7907801418439716
5,2,2,317,376,0.8430851063829787,190500.36225523506,199289.5956229298,7,4,1,57.0,1059,461,598,0.3015151515151515,0.22838709677419355,4,1538.9973406916715,57.0,10,31,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
6,2,2,317,376,0.8430851063829787,190500.36225523506,199289.5956229298,7,5,1,73.0,1059,461,598,0.3015151515151515,0.22838709677419355,5,1082.6175615423688,73.0,7,12,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
7,3,3,424,503,0.8429423459244533,232058.01449793842,248615.03333155904,8,6,1,82.0,932,374,558,0.43333333333333335,0.28,6,388.38927329629314,82.0,2,1,True,"OrderedDict([(1, 0), (0, 1)])","OrderedDict([((0, 1), [1, 9, 0])])",OrderedDict(),OrderedDict(),127,107,0,0,0,87,20,0,0,20,0,49325.43770862923,41557.65224270336,327.2256082102627,Success,0,0,0,0,True,True,False,0,[],0.84251968503937
8,3,3,424,503,0.8429423459244533,232058.01449793842,248615.03333155904,8,7,1,88.0,932,374,558,0.43333333333333335,0.28,7,270.1455602681537,88.0,10,21,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
9,3,3,424,503,0.8429423459244533,232058.01449793842,248615.03333155904,8,8,1,92.0,932,374,558,0.43333333333333335,0.28,8,2014.4023499530892,92.0,6,9,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
10,3,3,424,503,0.8429423459244533,232058.01449793842,248615.03333155904,8,9,1,104.0,932,374,558,0.43333333333333335,0.28,9,325.58704473180444,104.0,8,16,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
11,3,3,424,503,0.8429423459244533,232058.01449793842,248615.03333155904,8,10,1,111.0,932,374,558,0.43333333333333335,0.28,10,135.57426759369994,111.0,9,15,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
12,4,4,535,617,0.86709886547812,234536.45597166906,251160.4597099851,8,11,1,121.0,818,289,529,0.5621212121212121,0.31741935483870964,11,22.328301565140794,121.0,3,3,True,"OrderedDict([(2, 7), (1, 2), (0, 3)])","OrderedDict([((1, 2), [2, 7]), ((0, 1), [3, 7, 2]), ((0, 2), [3, 7])])",OrderedDict(),OrderedDict(),114,111,0,0,0,85,26,0,0,3,0,2545.4263784260506,2478.4414737306283,21.740714681847617,Success,0,0,0,0,True,True,False,0,[],0.9736842105263158
12,4,4,535,617,0.86709886547812,234536.45597166906,251160.4597099851,8,12,0,122.53199228901423,818,289,529,0.5621212121212121,0.31741935483870964,0,111.53199228901423,11.0,8,17,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],
